fecha,mes,trimestre,productividad_manufactura,unidades_producidas_dia,tasa_defectos_porcentaje,tiempo_ciclo_horas,costo_operacional_millones,costo_tecnologia_millones,costo_capacitacion_miles,ahorro_eficiencia_millones,nps_score,tiempo_entrega_dias,tasa_reclamos_porcentaje,recompra_porcentaje,empleados_capacitados_porcentaje,procesos_digitalizados_porcentaje,uso_plataforma_digital_porcentaje,tickets_soporte_mes,roi_transformacion_porcentaje,madurez_digital_score,resistencia_cambio_score,innovacion_index,rotacion_personal_porcentaje,satisfaccion_empleados_score,horas_extra_promedio,vacantes_tech_sin_cubrir,tasa_adopcion_sistemas_porcentaje,inversion_transformacion_millones
2023-07-02,2023-07,Q3 2023,71.65,447,4.17,8.52,12.51,0.7,25.8,-0.1,42,7.1,8.6,65.1,2.7,15.0,0.1,45.0,-15.1,2.06,7,35,9.9,67,4.8,1,0.1,1.36
2023-07-03,2023-07,Q3 2023,71.65,447,4.17,8.52,12.51,0.7,25.8,-0.1,42,7.1,8.6,65.1,2.7,15.0,0.1,45.0,-15.1,2.06,7,35,9.9,67,4.8,1,0.1,1.36
2023-07-09,2023-07,Q3 2023,71.46,449,4.3,8.45,12.52,0.5,21.3,-0.1,42,7.2,8.29,61.0,0.2,15.8,0.1,45.0,-15.0,1.98,7,36,9.2,67,5.1,1,0.1,1.05
2023-07-16,2023-07,Q3 2023,71.69,448,4.27,8.51,12.78,0.48,21.7,-0.1,43,7.0,8.53,64.6,1.7,15.3,1.3,60.0,-15.5,2.01,7,34,10.1,70,5.5,1,0.1,1.14
2023-07-23,2023-07,q3 2023,71.96,445,4.19,8.47,12.98,0.52,18.0,-0.1,43,7.1,8.36,62.3,0.2,17.0,5.5,45.0,-14.4,2.04,7,36,10.6,66,5.4,1,7.2,1.24
2023-07-30,2023-07,Q3 2023,71.43,450,4.07,,13.26,0.49,18.0,-0.1,40,7.0,8.6,61.0,0.2,15.2,0.5,47.0,-15.1,1.9,7,34,10.8,68,5.1,3,2.3,1.5
2023-08-06,2023-08,Q3 2023,71.43,450,3.97,8.55,13.31,0.48,18.0,-0.1,40,7.1,8.2,61.3,4.3,14.5,2.2,45.0,-14.6,1.96,7,34,10.4,68,4.9,2,1.5,1.67
2023-08-13,2023-08,Q3 2023,71.97,450,4.13,8.6,13.62,0.56,22.0,-0.1,41,7.2,8.39,61.5,0.2,15.2,0.7,53.0,-15.5,2.06,7,35,11.8,69,5.2,1,0.1,1.29
2023-08-20,2023-08,q3 2023,71.73,449,4.3,8.4,13.31,0.58,18.0,-0.1,42,7.2,8.58,62.6,0.9,15.8,0.3,56.0,-15.4,1.9,7,37,10.9,68,4.8,1,,1.17
2023-08-27,2023-08,Q3 2023,71.36,445,4.23,8.6,13.67,0.48,21.5,-0.1,42,7.3,8.6,62.8,2.2,15.1,2.3,45.0,-14.3,2.02,7,34,12.0,68,5.1,2,1.7,1.28
